BMU ID,NGU ID,Fuel type,Company,Name,DC,GC,GSP Group
E_ABERDARE,ABERU-1,,UK Power Reserve Limited,Aberdare Power Station,0,15.4,_K
T_ABRBO-1,ABRBO-1,WIND,Aberdeen Offshore Wind Farm,ABRBO-1,-2,99,
E_ABRTW-1,ABRTW-1,WIND,Npower Commercial Gas Limited,Auchrobert Wind Farm,-10,36,_N
C__PSMAR001,ACHLW-1,WIND,Smartestenergy Limited,C__PSMAR001-AAA-ACH-183,0,9.978,_P
T_ACHRW-1,ACHRW-1,WIND,Mobius Renewables Gen. (GB2,AChruach Wind Farm,-0.24,42.6,
,ACHYW-1,WIND,,,,,
T_AFTOW-1,AFTOW-1,WIND,Afton Wind Farm Limited,Afton Wind Farm,-2,50,
V__BADEL001,AG-ADL00B,,Adela Energy Ltd,ADELA_SBMU_B,0,0,_B
V__MADEL001,AG-ADL01M,,Adela Energy Ltd,ADELA_SBMU_M,0,0,_M
V__GADEL001,AG-ADL02G,,Adela Energy Ltd,ADELA_SBMU_G,0,0,_G
V__EADEL001,AG-ADL03E,,Adela Energy Ltd,ADELA_SBMU_E,0,0,_E
V__JADEL001,AG-ADL04H,,Adela Energy Ltd,ADELA_SBMU_J,0,0,_J
V__HADEL002,AG-ADL05H,,Adela Energy Ltd,V__HADEL002,0,0,_H
2__AECOT003,AG-AECO01,,ECOTRICITY LIMITED,ECOT_VPP_10,0,0,_A
2__ALOND001,AG-AEDF01,,EDF Energy Customers Ltd,EDFE Aggregate Eastern 01,0,0,_A
2__ALOND002,AG-AEDF02,,EDF Energy Customers Ltd,EDFE Aggregate Eastern 02,0,0,_A
2__AFLEX001,AG-AFLX01,,Flexitricity Limited,2__AFLEX001,0,49,_A
2__AFLEX002,AG-AFLX02,,Flexitricity Limited,2__AFLEX002,0,49,_A
2__AFLEX003,AG-AFLX03,,Flexitricity Limited,2__AFLEX003,0,49,_A
2__AFLEX004,AG-AFLX04,,Flexitricity Limited,2__AFLEX004,0,49,_A
2__AFLEX005,AG-AFLX05,,Flexitricity Limited,2__AFLEX005,0,49,_A
2__ALIME000,AG-ALIM01,,Limejump Energy Limited,2__ALIME000,0,40,_A
2__AANGE001,AG-ALIM02,,Limejump Energy Limited,2__AANGE001,-1,80,_A
2__AANGE002,AG-ALIM03,,Limejump Energy Limited,2__AANGE002,0,50,_A
2__AANGE003,AG-ALIM04,,Limejump Energy Limited,2__AANGE003,0,0,_A
2__AMRCY001,AG-AOCT01,,Octopus Energy Limited,2__AMRCY001,-12.299,0,_A
2__ASTAT001,AG-ASTK01,,Statkraft Markets Gmbh,STAT_A2,0,40,_A
