Start time,dataset,Date,SP,Demand
2022-12-31 23:30:00+00:00,ITSDO,2022-12-31,48,24923
2023-01-01 00:00:00+00:00,ITSDO,2023-01-01,1,24872
2023-01-01 00:30:00+00:00,ITSDO,2023-01-01,2,25472
2023-01-01 01:00:00+00:00,ITSDO,2023-01-01,3,25381
2023-01-01 01:30:00+00:00,ITSDO,2023-01-01,4,24793
2023-01-01 02:00:00+00:00,ITSDO,2023-01-01,5,24420
2023-01-01 02:30:00+00:00,ITSDO,2023-01-01,6,23893
2023-01-01 03:00:00+00:00,ITSDO,2023-01-01,7,23367
2023-01-01 03:30:00+00:00,ITSDO,2023-01-01,8,22662
2023-01-01 04:00:00+00:00,ITSDO,2023-01-01,9,22275
2023-01-01 04:30:00+00:00,ITSDO,2023-01-01,10,22068
2023-01-01 05:00:00+00:00,ITSDO,2023-01-01,11,22525
2023-01-01 05:30:00+00:00,ITSDO,2023-01-01,12,22617
2023-01-01 06:00:00+00:00,ITSDO,2023-01-01,13,22991
2023-01-01 06:30:00+00:00,ITSDO,2023-01-01,14,23310
2023-01-01 07:00:00+00:00,ITSDO,2023-01-01,15,23560
2023-01-01 07:30:00+00:00,ITSDO,2023-01-01,16,23777
2023-01-01 08:00:00+00:00,ITSDO,2023-01-01,17,23942
2023-01-01 08:30:00+00:00,ITSDO,2023-01-01,18,24167
2023-01-01 09:00:00+00:00,ITSDO,2023-01-01,19,23712
2023-01-01 09:30:00+00:00,ITSDO,2023-01-01,20,23607
2023-01-01 10:00:00+00:00,ITSDO,2023-01-01,21,24349
2023-01-01 10:30:00+00:00,ITSDO,2023-01-01,22,24973
2023-01-01 11:00:00+00:00,ITSDO,2023-01-01,23,26004
2023-01-01 11:30:00+00:00,ITSDO,2023-01-01,24,26806
2023-01-01 12:00:00+00:00,ITSDO,2023-01-01,25,27954
2023-01-01 12:30:00+00:00,ITSDO,2023-01-01,26,28477
2023-01-01 13:00:00+00:00,ITSDO,2023-01-01,27,28727
2023-01-01 13:30:00+00:00,ITSDO,2023-01-01,28,28936
2023-01-01 14:00:00+00:00,ITSDO,2023-01-01,29,29141
2023-01-01 14:30:00+00:00,ITSDO,2023-01-01,30,29570
2023-01-01 15:00:00+00:00,ITSDO,2023-01-01,31,30305
2023-01-01 15:30:00+00:00,ITSDO,2023-01-01,32,30913
2023-01-01 16:00:00+00:00,ITSDO,2023-01-01,33,32154
2023-01-01 16:30:00+00:00,ITSDO,2023-01-01,34,33184
2023-01-01 17:00:00+00:00,ITSDO,2023-01-01,35,33970
2023-01-01 17:30:00+00:00,ITSDO,2023-01-01,36,33697
2023-01-01 18:00:00+00:00,ITSDO,2023-01-01,37,32860
2023-01-01 18:30:00+00:00,ITSDO,2023-01-01,38,32169
2023-01-01 19:00:00+00:00,ITSDO,2023-01-01,39,31281
2023-01-01 19:30:00+00:00,ITSDO,2023-01-01,40,30130
2023-01-01 20:00:00+00:00,ITSDO,2023-01-01,41,29335
2023-01-01 20:30:00+00:00,ITSDO,2023-01-01,42,29040
2023-01-01 21:00:00+00:00,ITSDO,2023-01-01,43,27788
2023-01-01 21:30:00+00:00,ITSDO,2023-01-01,44,26597
2023-01-01 22:00:00+00:00,ITSDO,2023-01-01,45,25590
2023-01-01 22:30:00+00:00,ITSDO,2023-01-01,46,24613
2023-01-01 23:00:00+00:00,ITSDO,2023-01-01,47,23645
2023-01-01 23:30:00+00:00,ITSDO,2023-01-01,48,22988
2023-01-02 00:00:00+00:00,ITSDO,2023-01-02,1,22878
2023-01-02 00:30:00+00:00,ITSDO,2023-01-02,2,23233
2023-01-02 01:00:00+00:00,ITSDO,2023-01-02,3,22829
2023-01-02 01:30:00+00:00,ITSDO,2023-01-02,4,22511
2023-01-02 02:00:00+00:00,ITSDO,2023-01-02,5,22511
2023-01-02 02:30:00+00:00,ITSDO,2023-01-02,6,22450
2023-01-02 03:00:00+00:00,ITSDO,2023-01-02,7,22044
2023-01-02 03:30:00+00:00,ITSDO,2023-01-02,8,21628
2023-01-02 04:00:00+00:00,ITSDO,2023-01-02,9,21356
2023-01-02 04:30:00+00:00,ITSDO,2023-01-02,10,21283
2023-01-02 05:00:00+00:00,ITSDO,2023-01-02,11,20990
2023-01-02 05:30:00+00:00,ITSDO,2023-01-02,12,21313
2023-01-02 06:00:00+00:00,ITSDO,2023-01-02,13,22122
2023-01-02 06:30:00+00:00,ITSDO,2023-01-02,14,22936
2023-01-02 07:00:00+00:00,ITSDO,2023-01-02,15,24230
2023-01-02 07:30:00+00:00,ITSDO,2023-01-02,16,24719
2023-01-02 08:00:00+00:00,ITSDO,2023-01-02,17,25919
2023-01-02 08:30:00+00:00,ITSDO,2023-01-02,18,26740
2023-01-02 09:00:00+00:00,ITSDO,2023-01-02,19,27813
2023-01-02 09:30:00+00:00,ITSDO,2023-01-02,20,28255
2023-01-02 10:00:00+00:00,ITSDO,2023-01-02,21,28788
2023-01-02 10:30:00+00:00,ITSDO,2023-01-02,22,28694
2023-01-02 11:00:00+00:00,ITSDO,2023-01-02,23,28608
2023-01-02 11:30:00+00:00,ITSDO,2023-01-02,24,28504
2023-01-02 12:00:00+00:00,ITSDO,2023-01-02,25,28633
2023-01-02 12:30:00+00:00,ITSDO,2023-01-02,26,29041
2023-01-02 13:00:00+00:00,ITSDO,2023-01-02,27,28950
2023-01-02 13:30:00+00:00,ITSDO,2023-01-02,28,29020
2023-01-02 14:00:00+00:00,ITSDO,2023-01-02,29,29658
2023-01-02 14:30:00+00:00,ITSDO,2023-01-02,30,30509
2023-01-02 15:00:00+00:00,ITSDO,2023-01-02,31,31735
2023-01-02 15:30:00+00:00,ITSDO,2023-01-02,32,32970
2023-01-02 16:00:00+00:00,ITSDO,2023-01-02,33,35088
2023-01-02 16:30:00+00:00,ITSDO,2023-01-02,34,37056
2023-01-02 17:00:00+00:00,ITSDO,2023-01-02,35,38204
2023-01-02 17:30:00+00:00,ITSDO,2023-01-02,36,38520
2023-01-02 18:00:00+00:00,ITSDO,2023-01-02,37,37825
2023-01-02 18:30:00+00:00,ITSDO,2023-01-02,38,36771
2023-01-02 19:00:00+00:00,ITSDO,2023-01-02,39,35752
2023-01-02 19:30:00+00:00,ITSDO,2023-01-02,40,34678
2023-01-02 20:00:00+00:00,ITSDO,2023-01-02,41,33438
2023-01-02 20:30:00+00:00,ITSDO,2023-01-02,42,32201
2023-01-02 21:00:00+00:00,ITSDO,2023-01-02,43,30773
2023-01-02 21:30:00+00:00,ITSDO,2023-01-02,44,29617
2023-01-02 22:00:00+00:00,ITSDO,2023-01-02,45,28021
2023-01-02 22:30:00+00:00,ITSDO,2023-01-02,46,26395
2023-01-02 23:00:00+00:00,ITSDO,2023-01-02,47,24937
2023-01-02 23:30:00+00:00,ITSDO,2023-01-02,48,23878
2023-01-03 00:00:00+00:00,ITSDO,2023-01-03,1,23817
2023-01-03 00:30:00+00:00,ITSDO,2023-01-03,2,24127
2023-01-03 01:00:00+00:00,ITSDO,2023-01-03,3,24092
2023-01-03 01:30:00+00:00,ITSDO,2023-01-03,4,23681
2023-01-03 02:00:00+00:00,ITSDO,2023-01-03,5,23421
2023-01-03 02:30:00+00:00,ITSDO,2023-01-03,6,23335
2023-01-03 03:00:00+00:00,ITSDO,2023-01-03,7,22793
2023-01-03 03:30:00+00:00,ITSDO,2023-01-03,8,22349
2023-01-03 04:00:00+00:00,ITSDO,2023-01-03,9,22098
2023-01-03 04:30:00+00:00,ITSDO,2023-01-03,10,22369
2023-01-03 05:00:00+00:00,ITSDO,2023-01-03,11,23604
2023-01-03 05:30:00+00:00,ITSDO,2023-01-03,12,24356
2023-01-03 06:00:00+00:00,ITSDO,2023-01-03,13,25051
2023-01-03 06:30:00+00:00,ITSDO,2023-01-03,14,26923
2023-01-03 07:00:00+00:00,ITSDO,2023-01-03,15,29600
2023-01-03 07:30:00+00:00,ITSDO,2023-01-03,16,31415
2023-01-03 08:00:00+00:00,ITSDO,2023-01-03,17,32191
2023-01-03 08:30:00+00:00,ITSDO,2023-01-03,18,33107
2023-01-03 09:00:00+00:00,ITSDO,2023-01-03,19,34318
2023-01-03 09:30:00+00:00,ITSDO,2023-01-03,20,34644
2023-01-03 10:00:00+00:00,ITSDO,2023-01-03,21,35358
2023-01-03 10:30:00+00:00,ITSDO,2023-01-03,22,35551
2023-01-03 11:00:00+00:00,ITSDO,2023-01-03,23,36344
2023-01-03 11:30:00+00:00,ITSDO,2023-01-03,24,36679
2023-01-03 12:00:00+00:00,ITSDO,2023-01-03,25,37265
2023-01-03 12:30:00+00:00,ITSDO,2023-01-03,26,37393
2023-01-03 13:00:00+00:00,ITSDO,2023-01-03,27,37462
2023-01-03 13:30:00+00:00,ITSDO,2023-01-03,28,37164
2023-01-03 14:00:00+00:00,ITSDO,2023-01-03,29,36621
2023-01-03 14:30:00+00:00,ITSDO,2023-01-03,30,36474
2023-01-03 15:00:00+00:00,ITSDO,2023-01-03,31,36740
2023-01-03 15:30:00+00:00,ITSDO,2023-01-03,32,36997
2023-01-03 16:00:00+00:00,ITSDO,2023-01-03,33,37925
2023-01-03 16:30:00+00:00,ITSDO,2023-01-03,34,38599
2023-01-03 17:00:00+00:00,ITSDO,2023-01-03,35,39078
2023-01-03 17:30:00+00:00,ITSDO,2023-01-03,36,38722
2023-01-03 18:00:00+00:00,ITSDO,2023-01-03,37,37719
2023-01-03 18:30:00+00:00,ITSDO,2023-01-03,38,36619
2023-01-03 19:00:00+00:00,ITSDO,2023-01-03,39,35395
2023-01-03 19:30:00+00:00,ITSDO,2023-01-03,40,33877
2023-01-03 20:00:00+00:00,ITSDO,2023-01-03,41,32607
2023-01-03 20:30:00+00:00,ITSDO,2023-01-03,42,31192
2023-01-03 21:00:00+00:00,ITSDO,2023-01-03,43,29637
2023-01-03 21:30:00+00:00,ITSDO,2023-01-03,44,28073
2023-01-03 22:00:00+00:00,ITSDO,2023-01-03,45,26832
2023-01-03 22:30:00+00:00,ITSDO,2023-01-03,46,25881
2023-01-03 23:00:00+00:00,ITSDO,2023-01-03,47,25762
2023-01-03 23:30:00+00:00,ITSDO,2023-01-03,48,25413
2023-01-04 00:00:00+00:00,ITSDO,2023-01-04,1,25402
2023-01-04 00:30:00+00:00,ITSDO,2023-01-04,2,25820
2023-01-04 01:00:00+00:00,ITSDO,2023-01-04,3,25821
2023-01-04 01:30:00+00:00,ITSDO,2023-01-04,4,25308
2023-01-04 02:00:00+00:00,ITSDO,2023-01-04,5,25495
2023-01-04 02:30:00+00:00,ITSDO,2023-01-04,6,25230
2023-01-04 03:00:00+00:00,ITSDO,2023-01-04,7,24980
2023-01-04 03:30:00+00:00,ITSDO,2023-01-04,8,24592
2023-01-04 04:00:00+00:00,ITSDO,2023-01-04,9,24982
2023-01-04 04:30:00+00:00,ITSDO,2023-01-04,10,25118
2023-01-04 05:00:00+00:00,ITSDO,2023-01-04,11,25672
2023-01-04 05:30:00+00:00,ITSDO,2023-01-04,12,25983
2023-01-04 06:00:00+00:00,ITSDO,2023-01-04,13,25632
2023-01-04 06:30:00+00:00,ITSDO,2023-01-04,14,26669
2023-01-04 07:00:00+00:00,ITSDO,2023-01-04,15,27718
2023-01-04 07:30:00+00:00,ITSDO,2023-01-04,16,29335
2023-01-04 08:00:00+00:00,ITSDO,2023-01-04,17,30899
2023-01-04 08:30:00+00:00,ITSDO,2023-01-04,18,31306
2023-01-04 09:00:00+00:00,ITSDO,2023-01-04,19,32274
2023-01-04 09:30:00+00:00,ITSDO,2023-01-04,20,32179
2023-01-04 10:00:00+00:00,ITSDO,2023-01-04,21,32240
2023-01-04 10:30:00+00:00,ITSDO,2023-01-04,22,32182
2023-01-04 11:00:00+00:00,ITSDO,2023-01-04,23,32115
2023-01-04 11:30:00+00:00,ITSDO,2023-01-04,24,32091
2023-01-04 12:00:00+00:00,ITSDO,2023-01-04,25,32374
2023-01-04 12:30:00+00:00,ITSDO,2023-01-04,26,32246
2023-01-04 13:00:00+00:00,ITSDO,2023-01-04,27,32141
2023-01-04 13:30:00+00:00,ITSDO,2023-01-04,28,31839
2023-01-04 14:00:00+00:00,ITSDO,2023-01-04,29,32165
2023-01-04 14:30:00+00:00,ITSDO,2023-01-04,30,32447
2023-01-04 15:00:00+00:00,ITSDO,2023-01-04,31,33079
2023-01-04 15:30:00+00:00,ITSDO,2023-01-04,32,34094
2023-01-04 16:00:00+00:00,ITSDO,2023-01-04,33,35520
2023-01-04 16:30:00+00:00,ITSDO,2023-01-04,34,36895
2023-01-04 17:00:00+00:00,ITSDO,2023-01-04,35,37411
2023-01-04 17:30:00+00:00,ITSDO,2023-01-04,36,37600
2023-01-04 18:00:00+00:00,ITSDO,2023-01-04,37,37104
2023-01-04 18:30:00+00:00,ITSDO,2023-01-04,38,36390
2023-01-04 19:00:00+00:00,ITSDO,2023-01-04,39,35631
2023-01-04 19:30:00+00:00,ITSDO,2023-01-04,40,34546
2023-01-04 20:00:00+00:00,ITSDO,2023-01-04,41,33528
2023-01-04 20:30:00+00:00,ITSDO,2023-01-04,42,32182
2023-01-04 21:00:00+00:00,ITSDO,2023-01-04,43,30576
2023-01-04 21:30:00+00:00,ITSDO,2023-01-04,44,29228
2023-01-04 22:00:00+00:00,ITSDO,2023-01-04,45,27787
2023-01-04 22:30:00+00:00,ITSDO,2023-01-04,46,26901
2023-01-04 23:00:00+00:00,ITSDO,2023-01-04,47,25901
2023-01-04 23:30:00+00:00,ITSDO,2023-01-04,48,25524
2023-01-05 00:00:00+00:00,ITSDO,2023-01-05,1,25562
2023-01-05 00:30:00+00:00,ITSDO,2023-01-05,2,25783
2023-01-05 01:00:00+00:00,ITSDO,2023-01-05,3,25660
2023-01-05 01:30:00+00:00,ITSDO,2023-01-05,4,25264
2023-01-05 02:00:00+00:00,ITSDO,2023-01-05,5,25160
2023-01-05 02:30:00+00:00,ITSDO,2023-01-05,6,24901
2023-01-05 03:00:00+00:00,ITSDO,2023-01-05,7,24024
2023-01-05 03:30:00+00:00,ITSDO,2023-01-05,8,23781
2023-01-05 04:00:00+00:00,ITSDO,2023-01-05,9,23384
2023-01-05 04:30:00+00:00,ITSDO,2023-01-05,10,23373
2023-01-05 05:00:00+00:00,ITSDO,2023-01-05,11,23296
2023-01-05 05:30:00+00:00,ITSDO,2023-01-05,12,23828
2023-01-05 06:00:00+00:00,ITSDO,2023-01-05,13,25898
2023-01-05 06:30:00+00:00,ITSDO,2023-01-05,14,28112
2023-01-05 07:00:00+00:00,ITSDO,2023-01-05,15,30762
2023-01-05 07:30:00+00:00,ITSDO,2023-01-05,16,32643
2023-01-05 08:00:00+00:00,ITSDO,2023-01-05,17,33824
2023-01-05 08:30:00+00:00,ITSDO,2023-01-05,18,34224
2023-01-05 09:00:00+00:00,ITSDO,2023-01-05,19,34951
2023-01-05 09:30:00+00:00,ITSDO,2023-01-05,20,35171
2023-01-05 10:00:00+00:00,ITSDO,2023-01-05,21,34991
2023-01-05 10:30:00+00:00,ITSDO,2023-01-05,22,35235
2023-01-05 11:00:00+00:00,ITSDO,2023-01-05,23,35145
2023-01-05 11:30:00+00:00,ITSDO,2023-01-05,24,34925
2023-01-05 12:00:00+00:00,ITSDO,2023-01-05,25,34805
2023-01-05 12:30:00+00:00,ITSDO,2023-01-05,26,34986
2023-01-05 13:00:00+00:00,ITSDO,2023-01-05,27,35238
2023-01-05 13:30:00+00:00,ITSDO,2023-01-05,28,35059
2023-01-05 14:00:00+00:00,ITSDO,2023-01-05,29,35230
2023-01-05 14:30:00+00:00,ITSDO,2023-01-05,30,34908
2023-01-05 15:00:00+00:00,ITSDO,2023-01-05,31,34937
2023-01-05 15:30:00+00:00,ITSDO,2023-01-05,32,35920
2023-01-05 16:00:00+00:00,ITSDO,2023-01-05,33,37528
2023-01-05 16:30:00+00:00,ITSDO,2023-01-05,34,38676
2023-01-05 17:00:00+00:00,ITSDO,2023-01-05,35,38819
2023-01-05 17:30:00+00:00,ITSDO,2023-01-05,36,38708
2023-01-05 18:00:00+00:00,ITSDO,2023-01-05,37,37996
2023-01-05 18:30:00+00:00,ITSDO,2023-01-05,38,36997
2023-01-05 19:00:00+00:00,ITSDO,2023-01-05,39,34449
2023-01-05 19:30:00+00:00,ITSDO,2023-01-05,40,32798
2023-01-05 20:00:00+00:00,ITSDO,2023-01-05,41,31819
2023-01-05 20:30:00+00:00,ITSDO,2023-01-05,42,30603
2023-01-05 21:00:00+00:00,ITSDO,2023-01-05,43,29041
2023-01-05 21:30:00+00:00,ITSDO,2023-01-05,44,27488
2023-01-05 22:00:00+00:00,ITSDO,2023-01-05,45,26376
2023-01-05 22:30:00+00:00,ITSDO,2023-01-05,46,25685
2023-01-05 23:00:00+00:00,ITSDO,2023-01-05,47,26582
2023-01-05 23:30:00+00:00,ITSDO,2023-01-05,48,26249
2023-01-06 00:00:00+00:00,ITSDO,2023-01-06,1,26234
2023-01-06 00:30:00+00:00,ITSDO,2023-01-06,2,27078
2023-01-06 01:00:00+00:00,ITSDO,2023-01-06,3,26456
2023-01-06 01:30:00+00:00,ITSDO,2023-01-06,4,25884
2023-01-06 02:00:00+00:00,ITSDO,2023-01-06,5,25663
2023-01-06 02:30:00+00:00,ITSDO,2023-01-06,6,25520
2023-01-06 03:00:00+00:00,ITSDO,2023-01-06,7,26035
2023-01-06 03:30:00+00:00,ITSDO,2023-01-06,8,25852
2023-01-06 04:00:00+00:00,ITSDO,2023-01-06,9,25369
2023-01-06 04:30:00+00:00,ITSDO,2023-01-06,10,25164
2023-01-06 05:00:00+00:00,ITSDO,2023-01-06,11,24574
2023-01-06 05:30:00+00:00,ITSDO,2023-01-06,12,25403
2023-01-06 06:00:00+00:00,ITSDO,2023-01-06,13,26522
2023-01-06 06:30:00+00:00,ITSDO,2023-01-06,14,27695
2023-01-06 07:00:00+00:00,ITSDO,2023-01-06,15,29402
2023-01-06 07:30:00+00:00,ITSDO,2023-01-06,16,31161
2023-01-06 08:00:00+00:00,ITSDO,2023-01-06,17,32548
2023-01-06 08:30:00+00:00,ITSDO,2023-01-06,18,33214
2023-01-06 09:00:00+00:00,ITSDO,2023-01-06,19,33854
2023-01-06 09:30:00+00:00,ITSDO,2023-01-06,20,33867
2023-01-06 10:00:00+00:00,ITSDO,2023-01-06,21,33834
2023-01-06 10:30:00+00:00,ITSDO,2023-01-06,22,33607
2023-01-06 11:00:00+00:00,ITSDO,2023-01-06,23,33316
2023-01-06 11:30:00+00:00,ITSDO,2023-01-06,24,33216
2023-01-06 12:00:00+00:00,ITSDO,2023-01-06,25,33499
2023-01-06 12:30:00+00:00,ITSDO,2023-01-06,26,33408
2023-01-06 13:00:00+00:00,ITSDO,2023-01-06,27,33259
2023-01-06 13:30:00+00:00,ITSDO,2023-01-06,28,32963
2023-01-06 14:00:00+00:00,ITSDO,2023-01-06,29,33111
2023-01-06 14:30:00+00:00,ITSDO,2023-01-06,30,33354
2023-01-06 15:00:00+00:00,ITSDO,2023-01-06,31,33951
2023-01-06 15:30:00+00:00,ITSDO,2023-01-06,32,34947
2023-01-06 16:00:00+00:00,ITSDO,2023-01-06,33,36270
2023-01-06 16:30:00+00:00,ITSDO,2023-01-06,34,37422
2023-01-06 17:00:00+00:00,ITSDO,2023-01-06,35,37771
2023-01-06 17:30:00+00:00,ITSDO,2023-01-06,36,37549
2023-01-06 18:00:00+00:00,ITSDO,2023-01-06,37,36910
2023-01-06 18:30:00+00:00,ITSDO,2023-01-06,38,36108
2023-01-06 19:00:00+00:00,ITSDO,2023-01-06,39,34967
2023-01-06 19:30:00+00:00,ITSDO,2023-01-06,40,33200
2023-01-06 20:00:00+00:00,ITSDO,2023-01-06,41,31860
2023-01-06 20:30:00+00:00,ITSDO,2023-01-06,42,30612
2023-01-06 21:00:00+00:00,ITSDO,2023-01-06,43,29110
2023-01-06 21:30:00+00:00,ITSDO,2023-01-06,44,27742
2023-01-06 22:00:00+00:00,ITSDO,2023-01-06,45,26975
2023-01-06 22:30:00+00:00,ITSDO,2023-01-06,46,26189
2023-01-06 23:00:00+00:00,ITSDO,2023-01-06,47,26192
2023-01-06 23:30:00+00:00,ITSDO,2023-01-06,48,25791
2023-01-07 00:00:00+00:00,ITSDO,2023-01-07,1,26142
2023-01-07 00:30:00+00:00,ITSDO,2023-01-07,2,26867
2023-01-07 01:00:00+00:00,ITSDO,2023-01-07,3,27125
2023-01-07 01:30:00+00:00,ITSDO,2023-01-07,4,26531
2023-01-07 02:00:00+00:00,ITSDO,2023-01-07,5,26400
2023-01-07 02:30:00+00:00,ITSDO,2023-01-07,6,26059
2023-01-07 03:00:00+00:00,ITSDO,2023-01-07,7,25561
2023-01-07 03:30:00+00:00,ITSDO,2023-01-07,8,25203
2023-01-07 04:00:00+00:00,ITSDO,2023-01-07,9,24958
2023-01-07 04:30:00+00:00,ITSDO,2023-01-07,10,24563
2023-01-07 05:00:00+00:00,ITSDO,2023-01-07,11,23780
2023-01-07 05:30:00+00:00,ITSDO,2023-01-07,12,23949
2023-01-07 06:00:00+00:00,ITSDO,2023-01-07,13,23443
2023-01-07 06:30:00+00:00,ITSDO,2023-01-07,14,23521
2023-01-07 07:00:00+00:00,ITSDO,2023-01-07,15,23818
2023-01-07 07:30:00+00:00,ITSDO,2023-01-07,16,24088
2023-01-07 08:00:00+00:00,ITSDO,2023-01-07,17,25302
2023-01-07 08:30:00+00:00,ITSDO,2023-01-07,18,26454
2023-01-07 09:00:00+00:00,ITSDO,2023-01-07,19,27672
2023-01-07 09:30:00+00:00,ITSDO,2023-01-07,20,28401
2023-01-07 10:00:00+00:00,ITSDO,2023-01-07,21,29010
2023-01-07 10:30:00+00:00,ITSDO,2023-01-07,22,29290
2023-01-07 11:00:00+00:00,ITSDO,2023-01-07,23,29645
2023-01-07 11:30:00+00:00,ITSDO,2023-01-07,24,29791
2023-01-07 12:00:00+00:00,ITSDO,2023-01-07,25,29891
2023-01-07 12:30:00+00:00,ITSDO,2023-01-07,26,29809
2023-01-07 13:00:00+00:00,ITSDO,2023-01-07,27,29426
2023-01-07 13:30:00+00:00,ITSDO,2023-01-07,28,29389
2023-01-07 14:00:00+00:00,ITSDO,2023-01-07,29,29194
2023-01-07 14:30:00+00:00,ITSDO,2023-01-07,30,29042
2023-01-07 15:00:00+00:00,ITSDO,2023-01-07,31,29484
2023-01-07 15:30:00+00:00,ITSDO,2023-01-07,32,29960
2023-01-07 16:00:00+00:00,ITSDO,2023-01-07,33,31073
2023-01-07 16:30:00+00:00,ITSDO,2023-01-07,34,32806
2023-01-07 17:00:00+00:00,ITSDO,2023-01-07,35,33799
2023-01-07 17:30:00+00:00,ITSDO,2023-01-07,36,33944
2023-01-07 18:00:00+00:00,ITSDO,2023-01-07,37,33332
2023-01-07 18:30:00+00:00,ITSDO,2023-01-07,38,32342
2023-01-07 19:00:00+00:00,ITSDO,2023-01-07,39,31104
2023-01-07 19:30:00+00:00,ITSDO,2023-01-07,40,29837
2023-01-07 20:00:00+00:00,ITSDO,2023-01-07,41,28446
2023-01-07 20:30:00+00:00,ITSDO,2023-01-07,42,27767
2023-01-07 21:00:00+00:00,ITSDO,2023-01-07,43,28076
2023-01-07 21:30:00+00:00,ITSDO,2023-01-07,44,27634
2023-01-07 22:00:00+00:00,ITSDO,2023-01-07,45,28049
2023-01-07 22:30:00+00:00,ITSDO,2023-01-07,46,27941
2023-01-07 23:00:00+00:00,ITSDO,2023-01-07,47,27790
2023-01-07 23:30:00+00:00,ITSDO,2023-01-07,48,27229
2023-01-08 00:00:00+00:00,ITSDO,2023-01-08,1,26953
2023-01-08 00:30:00+00:00,ITSDO,2023-01-08,2,27502
