BMU ID,Normal MW,Available MW,Unavailable MW,Event type,Status,Start time,End time,Duration uncertainty,Fuel type
T_STAY-3,457.0,0.0,395.0,Planned,Dismissed,2024-01-05 23:00:00+00:00,2024-01-15 07:00:00+00:00,,CCGT
T_KEAD-2,840.0,0.0,840.0,Planned,Active,2024-01-06 00:00:00+00:00,2024-01-09 00:00:00+00:00,,CCGT
E_FDUN-1,99.0,44.0,55.0,Planned,Dismissed,2024-01-05 00:00:00+00:00,2024-09-06 23:00:00+00:00,,
E_FDUN-1,99.0,44.0,55.0,Planned,Dismissed,2024-01-05 00:00:00+00:00,2024-04-07 23:00:00+00:00,,
T_SUTB-1,832.0,810.0,22.0,Planned,Active,2024-01-02 08:00:00+00:00,2024-01-03 01:00:00+00:00,,CCGT
T_SUTB-1,832.0,0.0,832.0,Planned,Active,2024-01-03 01:00:00+00:00,2024-01-06 08:00:00+00:00,,CCGT
T_MOWEO-3,316.0,160.0,156.0,Planned,Dismissed,2024-01-05 16:00:00+00:00,2024-01-06 16:00:00+00:00, ,WIND
T_FFES-4,90.0,90.0,0.0,Planned,Active,2024-01-02 10:24:00+00:00,2024-01-02 11:00:00+00:00, ,PS
T_FFES-4,90.0,90.0,0.0,Planned,Active,2024-01-03 10:24:00+00:00,2024-01-03 11:00:00+00:00, ,PS
T_FFES-3,90.0,90.0,0.0,Planned,Active,2024-01-02 09:24:00+00:00,2024-01-02 10:00:00+00:00, ,PS
T_FFES-3,90.0,90.0,0.0,Planned,Active,2024-01-03 09:24:00+00:00,2024-01-03 10:00:00+00:00, ,PS
T_FFES-3,90.0,90.0,0.0,Planned,Active,2024-01-04 08:24:00+00:00,2024-01-04 09:00:00+00:00, ,PS
T_FFES-3,90.0,0.0,90.0,Planned,Active,2024-01-03 22:00:00+00:00,2024-01-04 08:24:00+00:00, ,PS
T_DRAXX-1,660.0,645.0,15.0,Planned,Dismissed,2024-01-05 23:58:30+00:00,2024-02-01 00:00:30+00:00,,BIOMASS
T_DRAXX-1,660.0,645.0,15.0,Planned,Dismissed,2024-01-06 00:00:30+00:00,2024-02-01 00:00:30+00:00,,BIOMASS
T_DRAXX-1,660.0,645.0,15.0,Planned,Active,2024-01-06 00:00:30+00:00,2024-01-31 23:59:00+00:00,,BIOMASS
T_DRAXX-4,645.0,0.0,645.0,Planned,Dismissed,2024-01-06 03:13:28+00:00,2024-01-06 19:24:30+00:00,,BIOMASS
T_DRAXX-4,645.0,0.0,645.0,Planned,Dismissed,2024-01-06 03:13:29+00:00,2024-01-06 19:24:30+00:00,,BIOMASS
T_DRAXX-4,645.0,0.0,645.0,Planned,Dismissed,2024-01-01 05:00:00+00:00,2024-01-06 19:24:30+00:00,,BIOMASS
E_THRNL-1,40.0,0.0,40.0,Planned,Dismissed,2024-01-01 23:30:00+00:00,2024-01-02 00:00:00+00:00,,
E_THRNL-1,40.0,0.0,40.0,Planned,Dismissed,2024-01-02 23:30:00+00:00,2024-01-03 00:00:00+00:00,,
E_EXETR-2,45.0,0.0,45.0,Planned,Dismissed,2024-01-02 06:00:00+00:00,2024-01-02 21:30:00+00:00,,
E_EXETR-2,45.0,0.0,45.0,Planned,Dismissed,2024-01-01 06:00:00+00:00,2024-01-01 21:30:00+00:00,,
E_EXETR-2,45.0,0.0,45.0,Planned,Dismissed,2024-01-02 23:30:00+00:00,2024-01-04 06:00:00+00:00,,
I_IEG-MOYL1,0.0,342.0,158.0,Unplanned,Active,2024-01-01 16:00:00+00:00,2024-01-01 18:00:00+00:00,,Interconnector
T_TSREP-1,285.0,149.0,136.0,Unplanned,Active,2024-01-01 03:30:00+00:00,2024-01-01 11:00:00+00:00,,BIOMASS
T_TSREP-1,285.0,158.0,127.0,Unplanned,Active,2024-01-01 01:30:00+00:00,2024-01-01 03:30:00+00:00,,BIOMASS
E_THRNL-1,40.0,0.0,40.0,Planned,Dismissed,2024-01-03 23:30:00+00:00,2024-01-04 00:00:00+00:00,,
T_PEMB-21,465.0,428.0,12.0,Unplanned,Inactive,2024-01-01 11:26:13+00:00,2024-01-01 12:31:11+00:00,,CCGT
T_STAY-3,457.0,417.0,1.0,Unplanned,Inactive,2024-01-01 10:15:27+00:00,2024-01-01 12:31:54+00:00,,CCGT
E_LYNE3,133.0,88.0,45.0,Unplanned,Dismissed,2024-01-02 08:00:00+00:00,2024-01-02 23:00:00+00:00,,BIOMASS
T_PEMB-31,465.0,416.0,0.0,Unplanned,Inactive,2024-01-01 12:25:26+00:00,2024-01-01 13:11:03+00:00,,CCGT
I_IEG-MOYL1,0.0,263.0,237.0,Unplanned,Active,2024-01-02 09:00:00+00:00,2024-01-02 19:00:00+00:00,,Interconnector
T_FOYE-2,150.0,150.0,0.0,Unplanned,Active,2024-01-01 06:05:00+00:00,2024-01-01 16:00:00+00:00,,PS
T_FOYE-1,150.0,150.0,0.0,Unplanned,Active,2024-01-01 09:22:00+00:00,2024-01-01 16:00:00+00:00,,PS
T_TSREP-1,285.0,149.0,136.0,Unplanned,Active,2024-01-01 14:00:00+00:00,2024-01-01 14:30:00+00:00,,BIOMASS
T_TSREP-1,285.0,149.0,136.0,Unplanned,Dismissed,2024-01-01 15:00:00+00:00,2024-01-01 15:30:00+00:00,,BIOMASS
T_TSREP-1,285.0,194.0,91.0,Unplanned,Dismissed,2024-01-01 14:30:00+00:00,2024-01-01 15:00:00+00:00,,BIOMASS
T_PEMB-51,465.0,413.0,18.0,Unplanned,Inactive,2024-01-01 08:27:32+00:00,2024-01-01 15:21:42+00:00,,CCGT
T_DRAXX-1,660.0,645.0,15.0,Planned,Dismissed,2024-01-01 18:59:00+00:00,2024-01-31 05:00:00+00:00,,BIOMASS
T_DRAXX-1,660.0,590.0,70.0,Unplanned,Dismissed,2024-01-01 17:13:00+00:00,2024-01-01 18:57:00+00:00,,BIOMASS
T_DRAXX-1,660.0,600.0,60.0,Unplanned,Dismissed,2024-01-01 17:32:00+00:00,2024-01-01 18:57:00+00:00,,BIOMASS
T_DRAXX-1,660.0,615.0,45.0,Unplanned,Dismissed,2024-01-01 18:06:30+00:00,2024-01-01 18:57:00+00:00,,BIOMASS
T_DRAXX-1,660.0,630.0,30.0,Unplanned,Dismissed,2024-01-01 18:18:30+00:00,2024-01-01 18:57:00+00:00,,BIOMASS
T_DRAXX-1,660.0,645.0,15.0,Planned,Dismissed,2024-01-01 18:57:00+00:00,2024-01-31 05:00:00+00:00,,BIOMASS
T_DRAXX-4,645.0,610.0,35.0,Planned,Dismissed,2024-01-01 19:16:00+00:00,2024-01-01 22:03:30+00:00,,BIOMASS
E_EXETR-2,45.0,0.0,45.0,Planned,Inactive,2024-01-01 09:30:00+00:00,2024-01-01 21:30:00+00:00,,
E_CROYD-2,45.0,0.0,45.0,Planned,Inactive,2024-01-01 21:30:00+00:00,2024-01-01 23:30:00+00:00,,
E_DERBY-1,55.0,0.0,55.0,Planned,Inactive,2024-01-01 21:30:00+00:00,2024-01-01 23:30:00+00:00,,
E_EXETR-2,45.0,0.0,45.0,Planned,Inactive,2024-01-01 21:30:00+00:00,2024-01-01 23:30:00+00:00,,
E_LYNE3,133.0,98.0,35.0,Unplanned,Active,2024-01-02 00:30:00+00:00,2024-01-02 06:30:00+00:00,,BIOMASS
E_LYNE3,133.0,88.0,45.0,Unplanned,Active,2024-01-01 22:00:00+00:00,2024-01-02 00:30:00+00:00,,BIOMASS
T_DRAXX-4,645.0,620.0,25.0,Unplanned,Inactive,2024-01-01 12:27:30+00:00,2024-01-01 17:44:00+00:00,,BIOMASS
T_DRAXX-1,660.0,630.0,30.0,Unplanned,Inactive,2024-01-01 18:18:30+00:00,2024-01-01 18:41:30+00:00,,BIOMASS
T_DRAXX-4,645.0,0.0,645.0,Unplanned,Inactive,2024-01-01 06:54:15+00:00,2024-01-01 12:27:24+00:00,,BIOMASS
T_DRAXX-4,645.0,600.0,45.0,Unplanned,Inactive,2024-01-01 18:14:00+00:00,2024-01-01 19:16:00+00:00,,BIOMASS
T_DRAXX-4,645.0,610.0,35.0,Unplanned,Inactive,2024-01-01 19:16:00+00:00,2024-01-01 21:03:53+00:00,,BIOMASS
T_DRAXX-1,660.0,600.0,60.0,Unplanned,Inactive,2024-01-01 17:32:00+00:00,2024-01-01 18:06:30+00:00,,BIOMASS
T_DRAXX-1,660.0,575.0,85.0,Unplanned,Inactive,2024-01-01 16:44:31+00:00,2024-01-01 17:13:00+00:00,,BIOMASS
T_DRAXX-3,645.0,300.0,345.0,Unplanned,Inactive,2024-01-01 20:11:31+00:00,2024-01-01 23:40:00+00:00,,BIOMASS
T_DRAXX-1,660.0,590.0,70.0,Unplanned,Inactive,2024-01-01 17:13:00+00:00,2024-01-01 17:32:00+00:00,,BIOMASS
T_DRAXX-1,660.0,615.0,45.0,Unplanned,Inactive,2024-01-01 18:06:30+00:00,2024-01-01 18:18:30+00:00,,BIOMASS
T_DRAXX-4,645.0,610.0,35.0,Unplanned,Inactive,2024-01-01 17:44:00+00:00,2024-01-01 18:14:00+00:00,,BIOMASS
T_DRAXX-4,645.0,550.0,95.0,Unplanned,Inactive,2024-01-01 21:03:53+00:00,2024-01-01 23:09:30+00:00,,BIOMASS
T_TSREP-1,285.0,150.0,135.0,Unplanned,Dismissed,2024-01-02 02:00:00+00:00,2024-01-02 10:30:00+00:00,,BIOMASS
T_TSREP-1,285.0,150.0,135.0,Unplanned,Active,2024-01-02 01:00:00+00:00,2024-01-02 04:30:00+00:00,,BIOMASS
T_TSREP-1,285.0,150.0,135.0,Unplanned,Active,2024-01-01 23:30:00+00:00,2024-01-02 04:30:00+00:00,,BIOMASS
T_TSREP-1,285.0,150.0,135.0,Unplanned,Active,2024-01-02 00:30:00+00:00,2024-01-02 04:30:00+00:00,,BIOMASS
E_EXETR-2,45.0,0.0,45.0,Planned,Inactive,2024-01-01 23:30:00+00:00,2024-01-02 06:00:00+00:00,,
E_CROYD-2,45.0,0.0,45.0,Planned,Inactive,2024-01-01 23:30:00+00:00,2024-01-02 06:00:00+00:00,,
E_DERBY-1,55.0,0.0,55.0,Planned,Inactive,2024-01-01 23:30:00+00:00,2024-01-02 06:00:00+00:00,,
T_DIDCB5,780.0,726.0,0.0,Unplanned,Inactive,2024-01-01 21:03:11+00:00,2024-01-02 07:00:00+00:00,,CCGT
E_LYNE3,133.0,113.0,20.0,Unplanned,Active,2024-01-02 07:30:00+00:00,2024-01-02 08:00:00+00:00,,BIOMASS
E_LYNE3,133.0,113.0,20.0,Unplanned,Active,2024-01-02 06:30:00+00:00,2024-01-02 07:30:00+00:00,,BIOMASS
E_LYNE3,133.0,113.0,20.0,Unplanned,Dismissed,2024-01-02 12:30:00+00:00,2024-01-02 23:00:00+00:00,,BIOMASS
T_WBURB-1,435.0,410.0,25.0,Unplanned,Active,2024-01-02 08:00:00+00:00,2024-01-02 12:30:00+00:00,,CCGT
T_WBURB-1,435.0,0.0,435.0,Unplanned,Active,2024-01-01 23:30:00+00:00,2024-01-02 08:00:00+00:00,,CCGT
T_PEMB-51,465.0,410.0,0.0,Unplanned,Inactive,2024-01-02 07:21:02+00:00,2024-01-02 08:21:56+00:00,,CCGT
E_LYNE3,133.0,130.0,3.0,Unplanned,Dismissed,2024-01-02 08:00:00+00:00,2024-01-02 23:00:00+00:00,,BIOMASS
E_THRNL-1,40.0,0.0,40.0,Planned,Dismissed,2024-01-04 23:30:00+00:00,2024-01-05 00:00:00+00:00,,
T_ROCK-1,748.0,420.0,328.0,Planned,Inactive,2024-01-02 10:00:00+00:00,2024-01-02 10:30:00+00:00,,CCGT
E_LYNE3,133.0,125.0,8.0,Unplanned,Active,2024-01-02 08:00:00+00:00,2024-01-02 11:00:00+00:00,,BIOMASS
I_IEG-MOYL1,0.0,214.0,286.0,Unplanned,Active,2024-01-03 09:00:00+00:00,2024-01-03 20:00:00+00:00,,Interconnector
I_IED-FRAN1,2000.0,1000.0,1000.0,Unplanned,Dismissed,2024-01-02 11:00:00+00:00,2024-01-02 11:30:00+00:00,,Interconnector
I_IEG-FRAN1,2000.0,1000.0,1000.0,Unplanned,Dismissed,2024-01-02 11:00:00+00:00,2024-01-02 11:30:00+00:00,,Interconnector
T_DRAXX-3,645.0,530.0,115.0,Unplanned,Dismissed,2024-01-02 09:08:00+00:00,2024-01-02 18:11:30+00:00,,BIOMASS
E_LYNE2,133.0,77.0,56.0,Unplanned,Dismissed,2024-01-02 13:30:00+00:00,2024-01-03 15:00:00+00:00,,BIOMASS
E_LYNE2,133.0,82.0,51.0,Unplanned,Active,2024-01-02 13:30:00+00:00,2024-01-02 14:00:00+00:00,,BIOMASS
E_LYNE2,133.0,88.0,45.0,Unplanned,Active,2024-01-02 14:00:00+00:00,2024-01-02 14:30:00+00:00,,BIOMASS
E_LYNE2,133.0,82.0,51.0,Unplanned,Dismissed,2024-01-02 15:30:00+00:00,2024-01-03 15:00:00+00:00,,BIOMASS
E_LYNE2,133.0,70.0,63.0,Unplanned,Dismissed,2024-01-03 15:00:00+00:00,2024-01-03 16:00:00+00:00,,BIOMASS
T_RMPNO-1,200.0,2.0,198.0,Unplanned,Dismissed,2024-01-02 15:27:22+00:00,2024-01-02 19:00:00+00:00,,WIND
T_RMPNO-2,200.0,2.0,198.0,Unplanned,Dismissed,2024-01-02 15:27:22+00:00,2024-01-02 19:00:00+00:00,,WIND
T_DRAXX-3,645.0,540.0,105.0,Unplanned,Dismissed,2024-01-02 12:43:00+00:00,2024-01-02 18:10:30+00:00,,BIOMASS
E_LYNE2,133.0,80.0,53.0,Unplanned,Active,2024-01-02 14:30:00+00:00,2024-01-02 16:00:00+00:00,,BIOMASS
E_LYNE3,133.0,121.0,12.0,Unplanned,Active,2024-01-02 11:00:00+00:00,2024-01-02 16:00:00+00:00,,BIOMASS
T_CNQPS-1,325.0,0.0,325.0,Unplanned,Active,2024-01-02 15:00:00+00:00,2024-01-03 12:00:00+00:00,+- 1 day,CCGT
T_HUMR-1,1230.0,807.0,423.0,Planned,Dismissed,2024-01-03 09:00:00+00:00,2024-01-03 12:00:00+00:00,,CCGT
E_LYNE3,133.0,125.0,8.0,Unplanned,Active,2024-01-02 16:00:00+00:00,2024-01-02 18:30:00+00:00,,BIOMASS
